donor,recipient,donated_amount
Greece,South Africa,32667185
Greece,Czech Republic,32667185
Greece,Colombia,32667185
Greece,Chile,32667185
Greece,Brazil,32667185
Greece,Chile,32667185
Greece,Romania,32667185
Greece,Thailand,32667185
Greece,Czech Republic,32667185
Greece,Brazil,32667185
Greece,Brazil,32667185
Greece,Romania,32667185
Greece,India,32667185
Greece,India,32667185
Greece,India,32667185
Greece,Poland,32667185
Greece,Colombia,32667185
Greece,Romania,32667185
Greece,Chile,32667185
Greece,Romania,32667185
Greece,Chile,32667185
Greece,Chile,32667185
Greece,Cyprus,32667185
Greece,Romania,32667185
Greece,Saudi Arabia,32667185
Greece,Chile,32667185
Greece,Chile,32667185
Greece,India,32667185
Greece,Saudi Arabia,32667185
Greece,Chile,32667185
Greece,Brazil,32667185
Greece,Thailand,32667185
Greece,Romania,32667185
Greece,Korea,32667185
Greece,South Africa,32667185
Greece,India,32667185
Greece,South Africa,32667185
Greece,Colombia,32667185
Greece,Thailand,32667185
Greece,Thailand,32667185
Greece,Romania,32667185
Greece,Brazil,32667185
Greece,Hungary,32667185
Greece,Brazil,32667185
Greece,Romania,32667185
Greece,Thailand,32667185
Greece,Colombia,32667185
Greece,Hungary,32667185
Greece,Thailand,32667185
Greece,Romania,32667185
Greece,Chile,32667185
Greece,Chile,32667185
Greece,Brazil,32667185
Greece,Romania,32667185
New Zealand,Brazil,56749885
New Zealand,South Africa,56749885
New Zealand,Chile,56749885
New Zealand,Brazil,56749885
New Zealand,Brazil,56749885
New Zealand,Brazil,56749885
New Zealand,South Africa,56749885
New Zealand,Brazil,56749885
New Zealand,Brazil,56749885
New Zealand,Chile,56749885
New Zealand,Brazil,56749885
New Zealand,India,56749885
New Zealand,South Africa,56749885
New Zealand,India,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,Thailand,56749885
New Zealand,Brazil,56749885
New Zealand,India,56749885
New Zealand,India,56749885
New Zealand,India,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,Brazil,56749885
New Zealand,India,56749885
New Zealand,Brazil,56749885
New Zealand,Colombia,56749885
New Zealand,Thailand,56749885
New Zealand,Brazil,56749885
New Zealand,India,56749885
New Zealand,Brazil,56749885
New Zealand,South Africa,56749885
New Zealand,Thailand,56749885
New Zealand,South Africa,56749885
New Zealand,Chile,56749885
New Zealand,South Africa,56749885
New Zealand,Colombia,56749885
New Zealand,India,56749885
New Zealand,Chile,56749885
New Zealand,Chile,56749885
New Zealand,Chile,56749885
New Zealand,Chile,56749885
New Zealand,Chile,56749885
New Zealand,Brazil,56749885
New Zealand,Colombia,56749885
New Zealand,South Africa,56749885
New Zealand,India,56749885
New Zealand,India,56749885
New Zealand,India,56749885
New Zealand,South Africa,56749885
New Zealand,Chile,56749885
New Zealand,Brazil,56749885
New Zealand,Chile,56749885
New Zealand,South Africa,56749885
New Zealand,Chile,56749885
New Zealand,Colombia,56749885
New Zealand,India,56749885
New Zealand,Chile,56749885
New Zealand,Chile,56749885
New Zealand,South Africa,56749885
New Zealand,Thailand,56749885
New Zealand,India,56749885
New Zealand,South Africa,56749885
New Zealand,India,56749885
New Zealand,India,56749885
New Zealand,India,56749885
New Zealand,India,56749885
New Zealand,South Africa,56749885
New Zealand,Chile,56749885
New Zealand,India,56749885
New Zealand,South Africa,56749885
New Zealand,India,56749885
New Zealand,Thailand,56749885
New Zealand,India,56749885
New Zealand,India,56749885
New Zealand,Brazil,56749885
New Zealand,Thailand,56749885
New Zealand,South Africa,56749885
New Zealand,Thailand,56749885
New Zealand,Colombia,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,Thailand,56749885
New Zealand,Thailand,56749885
New Zealand,Thailand,56749885
New Zealand,India,56749885
New Zealand,Colombia,56749885
New Zealand,India,56749885
New Zealand,Chile,56749885
New Zealand,Chile,56749885
New Zealand,South Africa,56749885
New Zealand,Brazil,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,Colombia,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,India,56749885
New Zealand,Thailand,56749885
New Zealand,South Africa,56749885
New Zealand,Thailand,56749885
New Zealand,India,56749885
New Zealand,Thailand,56749885
New Zealand,Thailand,56749885
New Zealand,South Africa,56749885
New Zealand,Chile,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,Colombia,56749885
New Zealand,India,56749885
New Zealand,Thailand,56749885
New Zealand,South Africa,56749885
New Zealand,India,56749885
New Zealand,Thailand,56749885
New Zealand,Colombia,56749885
New Zealand,Brazil,56749885
New Zealand,Chile,56749885
New Zealand,Brazil,56749885
New Zealand,Chile,56749885
